Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Day_Perc_Change,Trend
GMRINFRA,EQ,2017-12-15,16.85,17.1,17.65,17.1,17.1,17.2,17.36,22369880,388335672.35,12696,3044506,13.61,2.0771513353115667,Positive
GMRINFRA,EQ,2017-12-18,17.2,16.95,17.45,16.3,17.25,17.2,17.12,18915554,323807072.85,9060,3205597,16.95,0.0,Slight or No change
GMRINFRA,EQ,2017-12-19,17.2,17.25,17.85,17.25,17.8,17.75,17.63,20920115,368836287.8,11146,4817257,23.03,3.197674418604657,Among top gainers
GMRINFRA,EQ,2017-12-20,17.75,17.75,18.5,17.65,18.35,18.3,18.13,33432717,606282436.9,15415,9239200,27.64,3.0985915492957705,Among top gainers
GMRINFRA,EQ,2017-12-21,18.3,18.45,20.65,18.3,19.95,19.85,19.78,129338963,2558936147.45,52543,29401278,22.73,8.469945355191255,Bear drop
GMRINFRA,EQ,2017-12-22,19.85,19.95,20.2,19.3,19.6,19.55,19.65,39492713,776226286.45,21949,10489171,26.56,-1.5113350125944613,Negative
GMRINFRA,EQ,2017-12-26,19.55,19.55,20.35,19.25,19.4,19.55,19.9,61751456,1228657483.4,37433,17613571,28.52,0.0,Slight or No change
GMRINFRA,EQ,2017-12-27,19.55,19.55,20.0,18.9,18.95,19.05,19.46,46364487,902113917.35,29104,11154880,24.06,-2.5575447570332477,Negative
GMRINFRA,EQ,2017-12-28,19.05,19.15,20.7,19.05,20.55,20.25,20.09,148227908,2977469693.0,52167,48450798,32.69,6.299212598425186,Among top gainers
GMRINFRA,EQ,2017-12-29,20.25,20.9,22.8,20.7,22.6,22.45,21.76,187536370,4081665303.2,84276,40009568,21.33,10.864197530864184,Bear drop
GMRINFRA,EQ,2018-01-01,22.45,22.7,23.55,22.15,22.25,22.3,22.9,104419392,2390864229.25,54080,20134757,19.28,-0.6681514476614692,Slight negative
GMRINFRA,EQ,2018-01-02,22.3,22.5,22.9,20.95,21.45,21.65,21.79,88236346,1922296592.8,44085,12999234,14.73,-2.9147982062780353,Negative
GMRINFRA,EQ,2018-01-03,21.65,21.55,22.3,21.45,21.8,21.8,21.84,46683517,1019579592.0,24032,13067282,27.99,0.6928406466512715,Slight positive
GMRINFRA,EQ,2018-01-04,21.8,21.95,22.05,20.95,21.15,21.05,21.33,53266055,1136267691.0,26671,15651000,29.38,-3.4403669724770602,Among top losers
